,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
486,57774,80,3524254383,3512671844,8,502,30476,"(3850478252, 1546075107)",1
487,443,59094,3471133096,3850612709,8,2082,16649,"(2089600420, 3850478252)",1
488,59094,443,3850612709,3471133277,8,501,59209,"(3850478456, 2089600420)",0
489,80,57774,3512671844,3524254771,8,2082,29177,"(1546075294, 3850478252)",1
490,57774,80,3524254771,3512672187,8,501,42646,"(3850478456, 1546075294)",1
491,57774,80,3524254771,3512672187,8,501,42644,"(3850478457, 1546075294)",1
492,59094,443,3850612709,3471133277,8,501,18802,"(3850478457, 2089600420)",0
493,443,59094,3471133277,3850612974,8,2115,30269,"(2089600623, 3850478457)",1
494,80,57774,3512672187,3524254772,8,2082,40859,"(1546075497, 3850478457)",1
495,57774,80,3524254772,3512672188,8,501,42235,"(3850478662, 1546075497)",1
496,59094,443,3850612974,3471133382,8,501,65448,"(3850478664, 2089600623)",0
497,443,59094,3471133382,3850613175,8,2149,43741,"(2089600831, 3850478664)",1
498,443,59094,3471133551,3850613175,8,2149,13523,"(2089600840, 3850478664)",1
499,443,59094,3471136007,3850613175,8,2149,13523,"(2089600840, 3850478664)",1
500,443,59094,3471138463,3850613175,8,2149,13523,"(2089600840, 3850478664)",1
501,443,59094,3471140919,3850613175,8,2149,45502,"(2089600840, 3850478664)",1
502,59094,443,3850613175,3471142147,8,501,49052,"(3850478866, 2089600831)",0
503,443,59094,3471142147,3850613175,8,2149,48773,"(2089600840, 3850478664)",1
504,443,59094,3471143375,3850613175,8,2149,13944,"(2089600840, 3850478664)",1
505,59094,443,3850613175,3471144603,8,501,46587,"(3850478866, 2089600840)",0
506,443,59094,3471144603,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
507,443,59094,3471147059,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
508,443,59094,3471149515,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
509,443,59094,3471151971,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
510,443,59094,3471154427,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
511,443,59094,3471156883,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
512,443,59094,3471159339,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
513,443,59094,3471161795,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
514,59094,443,3850613175,3471164251,8,501,26526,"(3850479087, 2089601032)",0
515,443,59094,3471164251,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
516,443,59094,3471166707,3850613175,8,2149,13523,"(2089601032, 3850478866)",1
517,59094,443,3850613175,3471169163,8,501,21614,"(3850479087, 2089601032)",0
518,443,59094,3471169163,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
519,59094,443,3850613175,3471171619,8,501,18749,"(3850479275, 2089601253)",0
520,443,59094,3471171619,3850613175,8,2149,8730,"(2089601253, 3850479087)",1
521,443,59094,3471172847,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
522,59094,443,3850613175,3471175303,8,501,15065,"(3850479275, 2089601253)",0
523,443,59094,3471175303,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
524,443,59094,3471177759,3850613175,8,2149,11858,"(2089601253, 3850479087)",1
525,59094,443,3850613175,3471178987,8,501,11381,"(3850479275, 2089601253)",0
526,443,59094,3471178987,3850613175,8,2149,59241,"(2089601253, 3850479087)",1
527,443,59094,3471180215,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
528,443,59094,3471182671,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
529,443,59094,3471185127,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
530,443,59094,3471187583,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
531,443,59094,3471190039,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
532,443,59094,3471192495,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
533,443,59094,3471194951,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
534,443,59094,3471197407,3850613175,8,2149,13523,"(2089601253, 3850479087)",1
535,59094,443,3850613175,3471194951,8,467,60982,"(3850479279, 2089601253)",1
536,59094,443,3850613175,3471199863,8,501,56036,"(3850479279, 2089601253)",0
537,443,59094,3471199863,3850613175,8,2149,13455,"(2089601253, 3850479087)",1
538,59094,443,3850613175,3471202251,8,501,53647,"(3850479280, 2089601253)",0
539,51482,443,1372284298,583736340,8,501,16855,"(3905403765, 231083250)",0
540,51482,443,1372284337,583736340,8,501,26946,"(3905403766, 231083250)",0
541,51482,443,1372284361,583736340,8,501,63111,"(3905403766, 231083250)",0
542,443,51482,583736340,1372284362,8,272,10108,"(231136483, 3905403765)",0
543,443,51482,583736340,1372284362,8,272,10107,"(231136483, 3905403765)",0
544,51482,443,1372284362,583736341,8,501,9842,"(3905403801, 231136483)",0
545,80,43690,3806444594,3238678541,8,32768,7342,"(1601957999, 2218051715)",1
546,43690,80,3238678541,3806444828,8,6160,32059,"(2218077012, 1601957999)",1
547,80,43690,3806444828,3238678908,8,32768,36665,"(1601958293, 2218077012)",1
548,42680,443,2386802299,3734177045,8,10043,19337,"(2746340716, 1131051926)",5
549,443,42680,3734177045,2386802676,8,32768,40185,"(1131061383, 2746340716)",0
550,443,42680,3734177045,2386802676,8,32768,42806,"(1131061383, 2746340716)",0
551,42680,443,2386802676,3734177134,8,10043,62737,"(2746340800, 1131061383)",5
552,59094,443,3850613175,3471202251,8,501,5180,"(3850488589, 2089601253)",0
553,443,59094,3471202251,3850613520,8,2182,32764,"(2089610801, 3850488589)",1
554,59094,443,3850613520,3471202251,8,501,28745,"(3850494288, 2089610801)",0
555,443,59094,3471202251,3850613521,8,2182,21403,"(2089616461, 3850494288)",1
556,59094,443,3850613521,3471202252,8,501,22940,"(3850494432, 2089616461)",0
557,443,42680,3734177134,2386802676,8,32768,44857,"(1131068320, 2746340800)",0
558,42680,443,2386802676,3734177239,8,10043,48729,"(2746347766, 1131068320)",5
559,42680,443,2386802676,3734177239,8,10043,62614,"(2746347767, 1131068320)",5
